Title,Subtitle,Price,Offer,Shipping,Country,Sold
"Dell Latitude Laptop PC 14"" Windows 10 Intel Core i5 8GB RAM 256GB SSD Computer",Very Good - Refurbished,$149.99,or Best Offer,+$74.80 shipping,from United States,No sold information
"Dell 15.6"" NVIDIA Gaming Laptop - Intel Quad Core i7 64GB RAM 4TB SSD Windows 11",No subtitle,$453.00 to $896.00,No best offer,+$107.27 shipping,from United States,No sold information
"Lenovo ThinkPad Yoga 12"" Touchscreen Laptop Core i5 8GB RAM 128GB SSD Windows 10",Very Good - Refurbished,$144.99,or Best Offer,+$74.65 shipping,from United States,547 sold
"13.4"" Dell XPS 2-in-1 Laptop: Intel i7!  16GB RAM! 512GB SSD! Windows 11 Pro!",No subtitle,$469.95,or Best Offer,+$84.24 shipping,from United States,No sold information
"15.6"" Dell Gaming Laptop PC: Intel i7! 16GB RAM! 512 SSD! NVIDIA M620 w 2GB!",No subtitle,$269.95,or Best Offer,+$105.29 shipping,from United States,No sold information
"Dell Latitude Laptop PC 14"" FHD Core i7 16GB RAM 256GB SSD Windows 11 Pro HDMI",Very Good - Refurbished,$269.99,or Best Offer,+$85.09 shipping,from United States,135 sold
"New ListingLenovo ThinkPad P1 Gen 4 16"" 4K UHD Touch i7-11850H 2.5GHz 64GB 2TB SSD Warranty",Open Box,$222.50,No best offer,+$123.89 shipping,from United States,No sold information
MSI Cyborg Gaming Laptop - 13th Gen Intel Core i7-13620H - GeForce RTX 4050 - 14,No subtitle,$799.99,No best offer,+$120.92 shipping,from United States,255 sold
"~WINDOWS 11 PRO~ 14"" Lenovo ThinkPad Laptop: Intel i7QC! 16GB RAM! 256GB SSD!",No subtitle,$279.95,or Best Offer,+$85.38 shipping,from United States,No sold information
Lenovo Thinkpad T490 Light Gaming Laptop Intel Core i7 4.80 GHz 32GB RAM 2TB SSD,No subtitle,$495.00 to $850.00,No best offer,+$93.41 shipping,from United States,No sold information
"2023 ASUS Zenbook UM3402YA 14"" 2.8K OLED Touch Laptop Ryzen5 7530U 8GB 256GB W11",Certified - Refurbished,$409.00,No best offer,+$95.91 shipping,from United States,188 sold
"2024 HP Laptop Computer 14"" HD Quad-Core Intel Pentium Upto 32GB RAM & 1TB SSD",No subtitle,$229.00 to $389.00,No best offer,+$84.47 shipping,from United States,No sold information
"HP ProBook 450 G5 Laptop 15.6"" Core i5 Quad-Core 16GB RAM 256GB SSD Windows 11",Very Good - Refurbished,$269.99,or Best Offer,+$91.81 shipping,from United States,434 sold
"HP 14-dq0052dx 14"" HD Laptop Intel Celeron N4120 1.1GHz  4GB DDR4 64GB eMMC W11H",Very Good - Refurbished,$99.99,No best offer,+$80.07 shipping,from United States,No sold information
"New Spanish Dell Inspiron 15 3502 15.6"" 128GB SSD 4GB RAM Celeron N4020 1.1GHz",Brand New,$119.99,No best offer,+$80.66 shipping,from United States,153 sold
~OVERSTOCK~ 15.6 Dell Latitude Laptop PC: Intel i5! 16GB RAM! 256GB SSD! Webcam!,No subtitle,$189.97,or Best Offer,+$96.20 shipping,from United States,No sold information
"Lenovo Yoga 11e 11.6"" Touchscreen Laptop PC Windows 10 Pentium 4GB RAM 256GB SSD",Very Good - Refurbished,$122.31,or Best Offer,+$80.73 shipping,from United States,No sold information
